Id,SalePrice
1461,124721.28725372131
1462,138034.36023258723
1463,157734.49498012423
1464,172876.80315153435
1465,252178.05080313934
1466,172876.80315153435
1467,145650.2574682315
1468,168136.02916281632
1469,175636.88376472902
1470,124721.28725372131
1471,183252.78100037327
1472,123161.05618627719
1473,118077.69054620023
1474,168136.02916281632
1475,168002.93800727543
1476,337775.9667641673
1477,271541.7055361739
1478,331101.7923095891
1479,289208.931724211
1480,422350.8759840584
1481,286378.7659500197
1482,252178.05080313934
1483,145650.2574682315
1484,183252.78100037327
1485,185156.83696379754
1486,199745.43148170173
1487,310964.8309706125
1488,271541.7055361739
1489,183252.78100037327
1490,168136.02916281632
1491,199745.43148170173
1492,121589.67194205157
1493,172876.80315153435
1494,294693.8455719844
1495,286378.7659500197
1496,195004.65749298368
1497,199745.43148170173
1498,175618.83524291968
1499,175618.83524291968
1500,134504.33031492657
1501,172876.80315153435
1502,175618.83524291968
1503,271541.7055361739
1504,252178.05080313934
1505,199745.43148170173
1506,172876.80315153435
1507,172876.80315153435
1508,172876.80315153435
1509,168821.06756054796
1510,136082.60990418002
1511,136082.60990418002
1512,157734.49498012423
1513,172876.80315153435
1514,157734.49498012423
1515,157734.49498012423
1516,172876.80315153435
1517,134306.98333958213
1518,157734.49498012423
1519,195004.65749298368
1520,136082.60990418002
1521,136082.60990418002
1522,168821.06756054796
1523,125317.04883505669
1524,124721.28725372131
1525,124721.28725372131
1526,124721.28725372131
1527,118077.69054620023
1528,130400.41447513364
1529,136082.60990418002
1530,162730.73908989044
1531,156189.96358201996
1532,124721.28725372131
1533,136082.60990418002
1534,130400.41447513364
1535,159321.57889368967
1536,128448.66414672641
1537,118077.69054620023
1538,246800.31725335578
1539,272776.0668294007
1540,154602.87966845455
1541,164080.29357182994
1542,159321.57889368967
1543,225104.15927772882
1544,118077.69054620023
1545,123161.05618627719
1546,126888.43307928232
1547,156189.96358201996
1548,164080.29357182994
1549,118077.69054620023
1550,157734.49498012423
1551,134306.98333958213
1552,159321.57889368967
1553,168821.06756054796
1554,126888.43307928232
1555,157734.49498012423
1556,121805.06743920533
1557,157972.0244117502
1558,123161.05618627719
1559,156189.96358201996
1560,154602.87966845455
1561,157734.49498012423
1562,124721.28725372131
1563,124721.28725372131
1564,140919.63629499337
1565,156189.96358201996
1566,190948.9219019973
1567,118077.69054620023
1568,172876.80315153435
1569,157734.49498012423
1570,123161.05618627719
1571,156189.96358201996
1572,136082.60990418002
1573,195689.69589071535
1574,138055.68763527245
1575,190948.9219019973
1576,172876.80315153435
1577,183252.78100037327
1578,168136.02916281632
1579,124721.28725372131
1580,199745.43148170173
1581,128578.1650935747
1582,124721.28725372131
1583,359356.18593810714
1584,235744.8090994844
1585,126673.03758212851
1586,118077.69054620023
1587,118077.69054620023
1588,136082.60990418002
1589,118077.69054620023
1590,126673.03758212851
1591,124721.28725372131
1592,138055.68763527245
1593,126673.03758212851
1594,154602.87966845455
1595,159321.57889368967
1596,231689.07350849803
1597,157734.49498012423
1598,199745.43148170173
1599,252178.05080313934
1600,252178.05080313934
1601,118077.69054620023
1602,123161.05618627719
1603,118077.69054620023
1604,252178.05080313934
1605,271541.7055361739
1606,145650.2574682315
1607,172876.80315153435
1608,190811.61015036236
1609,183252.78100037327
1610,154602.87966845455
1611,136082.60990418002
1612,157734.49498012423
1613,138055.68763527245
1614,124721.28725372131
1615,118077.69054620023
1616,118077.69054620023
1617,118077.69054620023
1618,124721.28725372131
1619,121589.67194205157
1620,157734.49498012423
1621,121805.06743920533
1622,157734.49498012423
1623,259638.71071267882
1624,172876.80315153435
1625,126673.03758212851
1626,168136.02916281632
1627,172876.80315153435
1628,286378.7659500197
1629,199745.43148170173
1630,337843.94880957215
1631,252178.05080313934
1632,259638.71071267882
1633,185156.83696379754
1634,172876.80315153435
1635,172876.80315153435
1636,145650.2574682315
1637,157734.49498012423
1638,229159.8948687152
1639,172876.80315153435
1640,235744.8090994844
1641,172876.80315153435
1642,204988.08971798158
1643,252178.05080313934
1644,252178.05080313934
1645,157734.49498012423
1646,141922.8805752264
1647,183252.78100037327
1648,136082.60990418002
1649,132355.2330111749
1650,124721.28725372131
1651,124721.28725372131
1652,123161.05618627719
1653,123161.05618627719
1654,172876.80315153435
1655,183252.78100037327
1656,168136.02916281632
1657,172876.80315153435
1658,168136.02916281632
1659,168002.93800727543
1660,124721.28725372131
1661,375993.093766402
1662,358314.826154571
1663,401990.5610762935
1664,422350.8759840584
1665,338562.45221912855
1666,289208.931724211
1667,310964.8309706125
1668,338562.45221912855
1669,320895.2260310915
1670,338562.45221912855
1671,199745.43148170173
1672,410556.22218740464
1673,310964.8309706125
1674,271541.7055361739
1675,146927.12221438697
1676,145650.2574682315
1677,188933.90488139776
1678,410556.22218740464
1679,375478.67414175847
1680,308634.9409418849
1681,270846.1936675142
1682,281748.2718146715
1683,188933.90488139776
1684,195004.65749298368
1685,172876.80315153435
1686,183252.78100037327
1687,185156.83696379754
1688,199745.43148170173
1689,199745.43148170173
1690,199745.43148170173
1691,175618.83524291968
1692,279011.52476391225
1693,185156.83696379754
1694,172876.80315153435
1695,195004.65749298368
1696,237542.68263705797
1697,195004.65749298368
1698,322759.48476726626
1699,375478.67414175847
1700,229159.8948687152
1701,272776.0668294007
1702,281748.2718146715
1703,271541.7055361739
1704,281748.2718146715
1705,252178.05080313934
1706,410556.22218740464
1707,195004.65749298368
1708,188933.90488139776
1709,320895.2260310915
1710,252178.05080313934
1711,271541.7055361739
1712,266754.0027667786
1713,207304.26063169082
1714,199745.43148170173
1715,199745.43148170173
1716,175636.88376472902
1717,175636.88376472902
1718,138034.36023258723
1719,204988.08971798158
1720,271541.7055361739
1721,175636.88376472902
1722,132355.2330111749
1723,134328.31074226735
1724,202563.48664297277
1725,235744.8090994844
1726,172876.80315153435
1727,145650.2574682315
1728,199745.43148170173
1729,163009.40676327664
1730,172876.80315153435
1731,124721.28725372131
1732,124721.28725372131
1733,124721.28725372131
1734,130551.24282466713
1735,124721.28725372131
1736,124721.28725372131
1737,368111.43295565096
1738,199745.43148170173
1739,237542.68263705797
1740,172876.80315153435
1741,138034.36023258723
1742,172876.80315153435
1743,195004.65749298368
1744,252178.05080313934
1745,195689.69589071535
1746,297362.1318499935
1747,229159.8948687152
1748,172876.80315153435
1749,138055.68763527245
1750,138034.36023258723
1751,231689.07350849803
1752,124721.28725372131
1753,159321.57889368967
1754,229159.8948687152
1755,145650.2574682315
1756,124721.28725372131
1757,124721.28725372131
1758,140919.63629499337
1759,157734.49498012423
1760,136082.60990418002
1761,136082.60990418002
1762,154602.87966845455
1763,168821.06756054796
1764,124721.28725372131
1765,168821.06756054796
1766,168136.02916281632
1767,172876.80315153435
1768,136082.60990418002
1769,175636.88376472902
1770,134288.93481777277
1771,136082.60990418002
