datetime,count
2011-01-20 00:00:00,12.38
2011-01-20 01:00:00,5.17
2011-01-20 02:00:00,3.79
2011-01-20 03:00:00,3.61
2011-01-20 04:00:00,2.95
2011-01-20 05:00:00,6.76
2011-01-20 06:00:00,37.33
2011-01-20 07:00:00,108.01
2011-01-20 08:00:00,242.15
2011-01-20 09:00:00,133.55
2011-01-20 10:00:00,61.83
2011-01-20 11:00:00,61.71
2011-01-20 12:00:00,81.21
2011-01-20 13:00:00,72.56
2011-01-20 14:00:00,81.71
2011-01-20 15:00:00,86.48
2011-01-20 16:00:00,98.18
2011-01-20 17:00:00,208.73
2011-01-20 18:00:00,178.52
2011-01-20 19:00:00,102.03
2011-01-20 20:00:00,70.42
2011-01-20 21:00:00,51.1
2011-01-20 22:00:00,46.37
2011-01-20 23:00:00,24.92
2011-01-21 00:00:00,14.52
2011-01-21 01:00:00,7.18
2011-01-21 02:00:00,4.778333333333333
2011-01-21 03:00:00,2.28
2011-01-21 04:00:00,2.01
2011-01-21 05:00:00,3.52
2011-01-21 06:00:00,34.39
2011-01-21 07:00:00,100.96
2011-01-21 08:00:00,204.44
2011-01-21 09:00:00,131.18
2011-01-21 10:00:00,51.35
2011-01-21 11:00:00,63.09
2011-01-21 12:00:00,71.93
2011-01-21 13:00:00,69.22
2011-01-21 14:00:00,66.66
2011-01-21 15:00:00,63.9
2011-01-21 16:00:00,79.03
2011-01-21 17:00:00,154.83
2011-01-21 18:00:00,153.19
2011-01-21 19:00:00,105.74
2011-01-21 20:00:00,66.28
2011-01-21 21:00:00,49.77
2011-01-21 22:00:00,32.78
2011-01-21 23:00:00,20.27
2011-01-22 00:00:00,26.45
2011-01-22 01:00:00,17.35
2011-01-22 02:00:00,13.37
2011-01-22 03:00:00,7.57
2011-01-22 04:00:00,3.04
2011-01-22 06:00:00,5.1
2011-01-22 07:00:00,19.19
2011-01-22 08:00:00,30.89
2011-01-22 09:00:00,39.29666666666667
2011-01-22 10:00:00,56.76
2011-01-22 11:00:00,60.84
2011-01-22 12:00:00,74.43
2011-01-22 13:00:00,80.69
2011-01-22 14:00:00,75.69
2011-01-22 15:00:00,77.58
2011-01-22 16:00:00,77.65
2011-01-22 17:00:00,88.35
2011-01-22 18:00:00,60.86
2011-01-22 19:00:00,41.03
2011-01-22 20:00:00,44.94
2011-01-22 21:00:00,38.97
2011-01-22 22:00:00,29.78
2011-01-22 23:00:00,20.68
2011-01-23 00:00:00,28.52
2011-01-23 01:00:00,20.05
2011-01-23 02:00:00,14.01
2011-01-23 03:00:00,14.83
2011-01-23 05:00:00,2.96
2011-01-23 06:00:00,2.49
2011-01-23 07:00:00,7.86
2011-01-23 08:00:00,17.36
2011-01-23 09:00:00,26.536666666666665
2011-01-23 10:00:00,53.46
2011-01-23 11:00:00,60.4
2011-01-23 12:00:00,71.51
2011-01-23 13:00:00,70.17
2011-01-23 14:00:00,73.34
2011-01-23 15:00:00,73.31
2011-01-23 16:00:00,76.61
2011-01-23 17:00:00,75.13
2011-01-23 18:00:00,70.17
2011-01-23 19:00:00,45.71
2011-01-23 20:00:00,34.42
2011-01-23 21:00:00,31.16
2011-01-23 22:00:00,22.05
2011-01-23 23:00:00,13.82
2011-01-24 00:00:00,10.55
2011-01-24 01:00:00,4.81
2011-01-24 03:00:00,1.91
2011-01-24 04:00:00,2.43
2011-01-24 05:00:00,5.81
2011-01-24 06:00:00,30.22
2011-01-24 07:00:00,81.42
2011-01-24 08:00:00,185.71
2011-01-24 09:00:00,109.93
2011-01-24 10:00:00,43.6
2011-01-24 11:00:00,38.74
2011-01-24 12:00:00,49.85
2011-01-24 13:00:00,44.4
2011-01-24 14:00:00,41.7
2011-01-24 15:00:00,55.85
2011-01-24 16:00:00,67.95
2011-01-24 17:00:00,156.83
2011-01-24 18:00:00,153.43
2011-01-24 19:00:00,96.47
2011-01-24 20:00:00,64.1
2011-01-24 21:00:00,47.89
2011-01-24 22:00:00,25.15
2011-01-24 23:00:00,18.66
2011-01-25 00:00:00,9.05
2011-01-25 01:00:00,3.36
2011-01-25 02:00:00,2.09
2011-01-25 04:00:00,1.61
2011-01-25 05:00:00,5.66
2011-01-25 06:00:00,34.29
2011-01-25 07:00:00,81.34
2011-01-25 08:00:00,206.15
2011-01-25 09:00:00,120.05
2011-01-25 10:00:00,57.55
2011-01-25 11:00:00,58.56
2011-01-25 12:00:00,69.06
2011-01-25 13:00:00,71.16
2011-01-25 14:00:00,72.83
2011-01-25 15:00:00,73.19
2011-01-25 16:00:00,95.1
2011-01-25 17:00:00,216.11
2011-01-25 18:00:00,203.5
2011-01-25 19:00:00,110.23
2011-01-25 20:00:00,70.1
2011-01-25 21:00:00,53.25
2011-01-25 22:00:00,37.84
2011-01-25 23:00:00,20.43
2011-01-26 00:00:00,8.4
2011-01-26 01:00:00,5.86
2011-01-26 02:00:00,3.1658333333333335
2011-01-26 05:00:00,2.99
2011-01-26 06:00:00,26.29
2011-01-26 07:00:00,67.1
2011-01-26 08:00:00,148.4
2011-01-26 09:00:00,102.08
2011-01-26 10:00:00,61.82
2011-01-26 11:00:00,56.69
2011-01-26 12:00:00,55.92
2011-01-26 13:00:00,53.61
2011-01-26 14:00:00,51.66
2011-01-26 15:00:00,46.99
2011-01-26 16:00:00,67.55
2011-01-26 17:00:00,112.97
2011-01-27 16:00:00,75.36
2011-01-27 17:00:00,165.7
2011-01-27 18:00:00,137.82
2011-01-27 19:00:00,98.33
2011-01-27 20:00:00,80.02
2011-01-27 21:00:00,55.38
2011-01-27 22:00:00,41.42
2011-01-27 23:00:00,26.76
2011-01-28 00:00:00,12.39
2011-01-28 01:00:00,7.12
2011-01-28 02:00:00,2.33
2011-01-28 03:00:00,1.85
2011-01-28 05:00:00,6.47
2011-01-28 06:00:00,30.56
2011-01-28 07:00:00,88.97
2011-01-28 08:00:00,211.53
2011-01-28 09:00:00,83.73
2011-01-28 10:00:00,39.87
2011-01-28 11:00:00,43.57
2011-01-28 12:00:00,48.51
2011-01-28 13:00:00,48.66
2011-01-28 14:00:00,52.95
2011-01-28 15:00:00,57.62
2011-01-28 16:00:00,71.05
2011-01-28 17:00:00,162.71
2011-01-28 18:00:00,155.31
2011-01-28 19:00:00,102.92
2011-01-28 20:00:00,71.67
2011-01-28 21:00:00,51.17
2011-01-28 22:00:00,42.46
2011-01-28 23:00:00,26.85
2011-01-29 00:00:00,32.25
2011-01-29 01:00:00,23.74
2011-01-29 02:00:00,16.64
2011-01-29 03:00:00,11.02
2011-01-29 04:00:00,3.75
2011-01-29 06:00:00,3.12
2011-01-29 07:00:00,11.26
2011-01-29 08:00:00,24.536666666666665
2011-01-29 09:00:00,36.864999999999995
2011-01-29 10:00:00,64.97
2011-01-29 11:00:00,65.99
2011-01-29 12:00:00,82.12
2011-01-29 13:00:00,82.58
2011-01-29 14:00:00,82.1
2011-01-29 15:00:00,79.14
2011-01-29 16:00:00,87.52
2011-01-29 17:00:00,77.25
2011-01-29 18:00:00,70.87
2011-01-29 19:00:00,62.05
2011-01-29 20:00:00,49.13
2011-01-29 21:00:00,38.96
2011-01-29 22:00:00,34.98
2011-01-29 23:00:00,26.7
2011-01-30 00:00:00,29.8
2011-01-30 01:00:00,26.53
2011-01-30 02:00:00,21.0
2011-01-30 03:00:00,12.76
2011-01-30 04:00:00,4.85
2011-01-30 05:00:00,3.93
2011-01-30 07:00:00,8.79
2011-01-30 08:00:00,15.23
2011-01-30 09:00:00,30.14
2011-01-30 10:00:00,62.73
2011-01-30 11:00:00,74.06
2011-01-30 12:00:00,128.78
2011-01-30 13:00:00,92.33
2011-01-30 14:00:00,98.74
2011-01-30 15:00:00,128.76
2011-01-30 16:00:00,126.82
2011-01-30 17:00:00,73.93
2011-01-30 18:00:00,66.81
2011-01-30 19:00:00,44.47
2011-01-30 20:00:00,34.96
2011-01-30 21:00:00,28.92
2011-01-30 22:00:00,21.47
2011-01-30 23:00:00,15.08
2011-01-31 00:00:00,11.21
2011-01-31 01:00:00,3.06
2011-01-31 02:00:00,2.6633333333333336
2011-01-31 03:00:00,2.37
2011-01-31 04:00:00,1.61
2011-01-31 05:00:00,2.38
2011-01-31 06:00:00,35.13
2011-01-31 07:00:00,83.5
2011-01-31 08:00:00,170.45
2011-01-31 09:00:00,91.91
2011-01-31 10:00:00,39.18
2011-01-31 11:00:00,38.81
2011-01-31 12:00:00,59.07
2011-01-31 13:00:00,53.62
2011-01-31 14:00:00,50.17
2011-01-31 15:00:00,47.28
2011-01-31 16:00:00,66.9
2011-01-31 17:00:00,160.61
2011-01-31 18:00:00,155.32
2011-01-31 19:00:00,126.06
2011-01-31 20:00:00,60.99
2011-01-31 21:00:00,32.86
2011-01-31 22:00:00,29.74
